WL	Chl 5	Chl 10	Chl 15	Chl 20	Chl 25	Chl 30	Chl 35	Chl 40	Chl 45	Chl 50	Chl 55	Chl 60
1040	49.8	49.8	49.8	49.8	49.8	49.8	49.8	49.8	49.8	49.8	49.8	49.8
1050	50	50	50	50	50	50	50	50	50	50	50	50
1060	50.1	50.1	50.1	50.1	50.1	50.1	50.1	50.1	50.1	50.1	50.1	50.1
1070	49.8	49.8	49.8	49.8	49.8	49.8	49.8	49.8	49.8	49.8	49.8	49.8
1080	49.4	49.4	49.4	49.4	49.4	49.4	49.4	49.4	49.4	49.4	49.4	49.4
1090	49	49	49	49	49	49	49	49	49	49	49	49
1100	48.6	48.6	48.6	48.6	48.6	48.6	48.6	48.6	48.6	48.6	48.6	48.6
1110	48.4	48.4	48.4	48.4	48.4	48.4	48.4	48.4	48.4	48.4	48.4	48.4
1120	48	48	48	48	48	48	48	48	48	48	48	48
1130	47.1	47.1	47.1	47.1	47.1	47.1	47.1	47.1	47.1	47.1	47.1	47.1
1140	45.4	45.4	45.4	45.4	45.4	45.4	45.4	45.4	45.4	45.4	45.4	45.4
1150	43.6	43.6	43.6	43.6	43.6	43.6	43.6	43.6	43.6	43.6	43.6	43.6
1160	42.8	42.8	42.8	42.8	42.8	42.8	42.8	42.8	42.8	42.8	42.8	42.8
1170	42.3	42.3	42.3	42.3	42.3	42.3	42.3	42.3	42.3	42.3	42.3	42.3
1180	41.9	41.9	41.9	41.9	41.9	41.9	41.9	41.9	41.9	41.9	41.9	41.9
1190	41.8	41.8	41.8	41.8	41.8	41.8	41.8	41.8	41.8	41.8	41.8	41.8
1200	41.8	41.8	41.8	41.8	41.8	41.8	41.8	41.8	41.8	41.8	41.8	41.8
1210	42	42	42	42	42	42	42	42	42	42	42	42
1220	42.3	42.3	42.3	42.3	42.3	42.3	42.3	42.3	42.3	42.3	42.3	42.3
1230	42.7	42.7	42.7	42.7	42.7	42.7	42.7	42.7	42.7	42.7	42.7	42.7
1240	43.1	43.1	43.1	43.1	43.1	43.1	43.1	43.1	43.1	43.1	43.1	43.1
1250	43.5	43.5	43.5	43.5	43.5	43.5	43.5	43.5	43.5	43.5	43.5	43.5
1260	43.7	43.7	43.7	43.7	43.7	43.7	43.7	43.7	43.7	43.7	43.7	43.7
1270	43.7	43.7	43.7	43.7	43.7	43.7	43.7	43.7	43.7	43.7	43.7	43.7
1280	43.7	43.7	43.7	43.7	43.7	43.7	43.7	43.7	43.7	43.7	43.7	43.7
1290	43.3	43.3	43.3	43.3	43.3	43.3	43.3	43.3	43.3	43.3	43.3	43.3
1300	42.6	42.6	42.6	42.6	42.6	42.6	42.6	42.6	42.6	42.6	42.6	42.6
1310	41.8	41.8	41.8	41.8	41.8	41.8	41.8	41.8	41.8	41.8	41.8	41.8
1320	40.8	40.8	40.8	40.8	40.8	40.8	40.8	40.8	40.8	40.8	40.8	40.8
1330	39.3	39.3	39.3	39.3	39.3	39.3	39.3	39.3	39.3	39.3	39.3	39.3
1340	36.6	36.6	36.6	36.6	36.6	36.6	36.6	36.6	36.6	36.6	36.6	36.6
1350	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5
1360	31	31	31	31	31	31	31	31	31	31	31	31
1370	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2
1380	26.8	26.8	26.8	26.8	26.8	26.8	26.8	26.8	26.8	26.8	26.8	26.8
1390	22.3	22.3	22.3	22.3	22.3	22.3	22.3	22.3	22.3	22.3	22.3	22.3
1400	17.3	17.3	17.3	17.3	17.3	17.3	17.3	17.3	17.3	17.3	17.3	17.3
1410	14	14	14	14	14	14	14	14	14	14	14	14
1420	12.3	12.3	12.3	12.3	12.3	12.3	12.3	12.3	12.3	12.3	12.3	12.3
1430	11.5	11.5	11.5	11.5	11.5	11.5	11.5	11.5	11.5	11.5	11.5	11.5
1440	11.2	11.2	11.2	11.2	11.2	11.2	11.2	11.2	11.2	11.2	11.2	11.2
1450	11.3	11.3	11.3	11.3	11.3	11.3	11.3	11.3	11.3	11.3	11.3	11.3
1460	11.4	11.4	11.4	11.4	11.4	11.4	11.4	11.4	11.4	11.4	11.4	11.4
1470	11.8	11.8	11.8	11.8	11.8	11.8	11.8	11.8	11.8	11.8	11.8	11.8
1480	12.6	12.6	12.6	12.6	12.6	12.6	12.6	12.6	12.6	12.6	12.6	12.6
1490	13.6	13.6	13.6	13.6	13.6	13.6	13.6	13.6	13.6	13.6	13.6	13.6
1500	14.8	14.8	14.8	14.8	14.8	14.8	14.8	14.8	14.8	14.8	14.8	14.8
1510	16.1	16.1	16.1	16.1	16.1	16.1	16.1	16.1	16.1	16.1	16.1	16.1
1520	17.3	17.3	17.3	17.3	17.3	17.3	17.3	17.3	17.3	17.3	17.3	17.3
1530	18.4	18.4	18.4	18.4	18.4	18.4	18.4	18.4	18.4	18.4	18.4	18.4
1540	19.4	19.4	19.4	19.4	19.4	19.4	19.4	19.4	19.4	19.4	19.4	19.4
1550	20.3	20.3	20.3	20.3	20.3	20.3	20.3	20.3	20.3	20.3	20.3	20.3
1560	21.2	21.2	21.2	21.2	21.2	21.2	21.2	21.2	21.2	21.2	21.2	21.2
1570	22.1	22.1	22.1	22.1	22.1	22.1	22.1	22.1	22.1	22.1	22.1	22.1
1580	22.9	22.9	22.9	22.9	22.9	22.9	22.9	22.9	22.9	22.9	22.9	22.9
1590	23.6	23.6	23.6	23.6	23.6	23.6	23.6	23.6	23.6	23.6	23.6	23.6
1600	24.4	24.4	24.4	24.4	24.4	24.4	24.4	24.4	24.4	24.4	24.4	24.4
1610	25.1	25.1	25.1	25.1	25.1	25.1	25.1	25.1	25.1	25.1	25.1	25.1
1620	25.8	25.8	25.8	25.8	25.8	25.8	25.8	25.8	25.8	25.8	25.8	25.8
1630	26.4	26.4	26.4	26.4	26.4	26.4	26.4	26.4	26.4	26.4	26.4	26.4
1640	26.8	26.8	26.8	26.8	26.8	26.8	26.8	26.8	26.8	26.8	26.8	26.8
1650	27.1	27.1	27.1	27.1	27.1	27.1	27.1	27.1	27.1	27.1	27.1	27.1
1660	27.3	27.3	27.3	27.3	27.3	27.3	27.3	27.3	27.3	27.3	27.3	27.3
1670	27.3	27.3	27.3	27.3	27.3	27.3	27.3	27.3	27.3	27.3	27.3	27.3
1680	27.1	27.1	27.1	27.1	27.1	27.1	27.1	27.1	27.1	27.1	27.1	27.1
1690	26.8	26.8	26.8	26.8	26.8	26.8	26.8	26.8	26.8	26.8	26.8	26.8
1700	26.3	26.3	26.3	26.3	26.3	26.3	26.3	26.3	26.3	26.3	26.3	26.3
1710	25.8	25.8	25.8	25.8	25.8	25.8	25.8	25.8	25.8	25.8	25.8	25.8
