Plot_ID,Species,Stems / ha,Mean DBH,BA / ha,Vol / ha,N_Pulses,N_Returns,First_Return,Multi_Return,LPI,CDensity,FCI,LCI,GapFrac,VCC,hMean,qhMean,h25,h50,h60,h70,h75,h80,h90,h95,h99,hmax,IQR,Skew,Kurtosis,VDR,CanopyRR,L_mean,L_scale,L_skewness,L_kurtosis,L_variation,Closed_Vol,Open_Vol,Oligophotic_Vol,Euphotic_Vol,cvm_filled_vol,cvm_filled_prop,Closed_Prop,Open_Prop,Oligophotic_Prop,Euphotic_Prop,p_mean,p_scale,p_skewness,p_kurtosis,p_variation,chm_rumple,chm_ruggedness,chm_roughness,chm_vf,chm_vl,chm_vd,wv_peaks,wv_auc,wv_mid,wv_min,wv_max,wv_width,wv_prominence,wv_midmin,wv_midmax,wv_minmax,h25f,h50f,h60f,h70f,h75f,h80f,h85f,h90f,h95f,h99f,L_mean_f,L_scale_f,L_skewness_f,L_kurtosis_f,L_variation_f
PL0157,LPS,1650,17,36.54,224,5107,10190,0.501,0.499,0.218,0.718,89.09,54.417,0.282,97.54,8.928,9.395,6.893,9.217,9.943,10.718,11.116,11.532,12.507,13.339,14.615,16.183,4.223,-0.307,-0.529,0.43,0.611,8.928,1.664,-0.074,0.091,0.186,484.5,342,4012,2832,6844,0.892,0.063,0.045,0.523,0.369,4.265,2.178,0.27,0.067,0.511,4.602,2.332,15.219,4871.967,2064.498,2807.469,1,7.597,10,18,2.5,15.5,0.114,8.096,2866,354,7.9,9.972,10.71,11.428,11.747,12.074,12.478,13.05,13.678,14.95,9.613,1.621,-0.118,0.113,0.169
PL0158,LPS,1525,18,40.16,298,6579,13802,0.477,0.523,0.202,0.769,95.74,59.643,0.231,97.83,10.372,10.723,8.643,10.584,11.263,12.021,12.387,12.851,13.815,14.431,15.256,16.355,3.744,-0.464,-0.084,0.353,0.68,10.372,1.534,-0.083,0.106,0.148,240,108,5050,2272.5,7322.5,0.954,0.031,0.014,0.658,0.296,4.766,2.441,0.287,0.071,0.512,4.412,2.32,14.511,6085.033,2479.578,3605.455,1,7.326,11.5,18,2.5,15.5,0.131,24.902,309.5,12.429,9.649,11.54,12.16,12.864,13.177,13.538,13.892,14.254,14.701,15.45,11.252,1.396,-0.115,0.102,0.124
PL0159,LPS,1950,18,52.26,378,6243,12941,0.482,0.518,0.196,0.716,90.13,54.389,0.284,94.75,9.641,10.137,7.881,9.925,10.761,11.555,11.983,12.397,13.313,14.095,15.374,17.262,4.102,-0.506,-0.268,0.425,0.627,9.641,1.761,-0.111,0.113,0.183,505.875,319.5,4519.625,2854.5,7374.125,0.899,0.062,0.039,0.551,0.348,4.819,2.452,0.264,0.047,0.509,3.448,4.929,13.618,5249.59,2189.114,3060.476,2,7.889,10.5,19,2.5,16.5,0.106,6.479,1746,269.5,8.82,10.902,11.648,12.345,12.643,12.969,13.304,13.843,14.476,15.812,10.405,1.691,-0.152,0.124,0.162
PL0160,SS,1625,17,39.25,299,3558,7889,0.451,0.549,0.107,0.88,98.96,79.012,0.12,99.64,9.944,10.219,8.33,9.963,10.538,11.188,11.552,11.937,12.989,13.704,15.377,17.728,3.222,-0.096,0.114,0.438,0.647,9.944,1.326,-0.008,0.123,0.133,180,140,4581,3563,8144,0.962,0.021,0.017,0.541,0.421,3.324,1.629,0.32,0.184,0.49,3.82,1.87,11.643,5787.394,3524.337,2263.058,1,6.367,10.5,19.5,2.5,17,0.154,59.4,3267,55,9.567,10.886,11.438,12.032,12.373,12.742,13.135,13.588,14.304,15.855,10.898,1.208,-0.014,0.13,0.111
PL0161,LPS,1525,20,46.46,334,6569,13648,0.481,0.519,0.18,0.78,95.59,61.774,0.22,97.46,10.554,10.964,8.699,10.712,11.465,12.257,12.62,13.065,14.144,14.955,17.177,21.426,3.921,-0.259,0.235,0.5,0.614,10.554,1.663,-0.055,0.132,0.158,490,717.125,4800,4320,9120,0.883,0.047,0.069,0.465,0.418,4.636,2.388,0.305,0.107,0.515,2.417,5.139,16.223,5605.412,2279.005,3326.407,1,7.641,11.5,23,2.5,20.5,0.124,20.038,595.429,29.714,9.669,11.726,12.368,13.017,13.284,13.637,14.124,14.622,15.372,17.843,11.361,1.59,-0.096,0.147,0.14
PL0162,SS,1450,18,39.95,273,6205,13546,0.458,0.542,0.08,0.913,99.94,84.021,0.087,98.19,8.773,9.215,6.7,8.739,9.506,10.353,10.755,11.262,12.524,13.406,15.064,17.376,4.055,0.072,-0.515,0.497,0.582,8.773,1.608,0.011,0.09,0.183,88,82.5,4144,3885,8029,0.979,0.011,0.01,0.505,0.474,3.328,1.46,0.259,0.17,0.439,3.963,4.139,14.617,5491.155,3225.709,2265.446,1,7.814,9.5,19,2.5,16.5,0.121,18.353,1183.75,64.5,8.014,9.835,10.546,11.24,11.749,12.194,12.666,13.196,14.027,15.53,9.78,1.518,-0.018,0.103,0.155
PL0163,LPS,2475,17,56.96,376,2402,5137,0.468,0.532,0.164,0.785,96.75,62.486,0.215,99.09,7.936,8.383,6.158,8.21,8.869,9.478,9.834,10.295,11.259,12.062,13.512,15.452,3.676,-0.251,-0.506,0.469,0.587,7.936,1.534,-0.066,0.1,0.193,658.125,526.5,3309.375,2647.5,5956.875,0.834,0.092,0.074,0.463,0.371,3.464,1.761,0.257,0.081,0.508,2.738,4.801,14.465,3856.214,2374.505,1481.709,1,6.885,9,17,2.5,14.5,0.115,5.112,866.5,169.5,7.197,9.066,9.533,10.186,10.563,10.873,11.283,11.757,12.421,13.861,8.743,1.426,-0.097,0.13,0.163
PL0164,SS,1925,16,42.07,323,7018,14772,0.475,0.525,0.045,0.95,99.94,90.444,0.05,99.48,11.749,12.307,9.15,11.354,12.244,13.4,14.076,15.015,17.086,18.327,20.502,24.981,4.926,0.321,-0.212,0.545,0.573,11.749,2.066,0.078,0.112,0.176,525.25,573,5293.75,5775,11068.75,0.91,0.043,0.047,0.435,0.475,3.163,1.545,0.329,0.224,0.489,4.445,7.787,23.26,6180.441,4422.43,1758.012,2,8.714,11,26.5,2.5,24,0.112,45.933,4823,105,10.39,12.258,13.157,14.217,15.122,15.978,16.984,17.818,18.86,20.904,12.791,1.934,0.094,0.114,0.151
PL0165,LPS,1575,19,48.02,316,2660,5406,0.492,0.508,0.166,0.792,95.9,62.928,0.208,97.4,9.209,9.676,7.32,9.368,10.171,10.997,11.377,11.864,12.929,13.663,15.161,16.915,4.057,-0.282,-0.377,0.446,0.607,9.209,1.684,-0.061,0.105,0.183,607.5,405,4153.5,2769,6922.5,0.872,0.077,0.051,0.523,0.349,3.635,1.965,0.305,0.099,0.541,2.597,6.241,14.457,4717.373,2899.848,1817.525,1,7.968,10,18.5,2.5,16,0.109,7.8,319.8,41,8.163,10.312,11.027,11.752,12.139,12.485,12.932,13.438,14.264,15.621,10.028,1.594,-0.086,0.111,0.159
PL0166,LPS,1925,18,50.68,317,13235,26956,0.491,0.509,0.135,0.792,93.16,65.688,0.208,96.56,8.567,8.969,6.961,8.736,9.37,10.16,10.54,10.947,11.936,12.572,13.578,15.743,3.579,-0.359,-0.366,0.445,0.631,8.567,1.504,-0.076,0.109,0.176,296,222,3936,2952,6888,0.93,0.04,0.03,0.531,0.399,3.987,1.878,0.266,0.118,0.471,2.956,4.466,12.604,4932.597,1675.372,3257.225,1,6.801,9.5,17.5,2.5,15,0.13,9.429,1867,198,7.893,9.58,10.303,10.946,11.224,11.572,11.988,12.384,12.946,13.871,9.374,1.405,-0.109,0.115,0.15
PL0167,SS,1750,18,47.77,395,3434,6728,0.51,0.49,0.065,0.893,96.24,82.028,0.107,97.22,10.118,10.867,6.771,10.98,11.967,12.826,13.239,13.699,14.809,15.587,16.996,18.793,6.468,-0.35,-0.961,0.416,0.595,10.118,2.261,-0.101,0.035,0.223,362.25,224.25,5192.25,3214.25,8406.5,0.934,0.04,0.025,0.577,0.357,2.596,1.194,0.265,0.198,0.46,2.159,6.121,15.909,5501.698,4112.06,1389.639,3,9.058,13,20.5,2.5,18,0.086,4.646,197,42.4,7.19,11.694,12.674,13.53,13.907,14.398,14.795,15.299,16.009,17.44,10.624,2.34,-0.131,0.031,0.22
PL0168,LPS,1875,17,44.93,262,10903,22746,0.479,0.521,0.184,0.753,91.79,60.12,0.247,96.38,8.694,9.123,6.897,8.863,9.595,10.27,10.669,11.094,12.133,12.949,14.26,17.201,3.772,-0.253,-0.336,0.485,0.61,8.694,1.566,-0.057,0.109,0.18,294,275.625,3938,3691.875,7629.875,0.93,0.036,0.034,0.48,0.45,4.25,2.04,0.271,0.102,0.48,2.639,2.357,12.745,5003.999,1272.837,3731.163,1,7.252,10,19,2.5,16.5,0.12,8.164,2343,287,7.724,9.699,10.334,11.021,11.417,11.744,12.149,12.642,13.363,14.616,9.429,1.517,-0.096,0.125,0.161
PL0169,SS,1500,16,31.14,189,4729,9392,0.504,0.496,0.138,0.839,96.91,70.684,0.161,98.61,7.037,7.263,5.85,7.049,7.48,7.991,8.29,8.555,9.38,10.049,11.097,12.392,2.44,-0.019,-0.214,0.431,0.634,7.037,1.017,-0.003,0.12,0.145,139.5,104.625,3034.5,2275.875,5310.375,0.956,0.025,0.019,0.546,0.41,2.803,1.396,0.303,0.146,0.498,2.182,3.264,9.348,4059.52,2246.565,1812.954,1,5.018,7.5,14,2.5,11.5,0.19,21.645,1565.667,72.333,6.504,7.65,8.085,8.514,8.758,9.04,9.426,9.821,10.399,11.393,7.63,0.956,-0.015,0.126,0.125
PL0170,SS,500,36,52.67,581,4987,10729,0.465,0.535,0.081,0.907,98.12,84.291,0.093,99.64,17.448,17.684,15.524,17.574,18.345,19.087,19.531,19.924,21.06,21.953,23.442,26.115,4.007,-0.251,-0.09,0.327,0.744,17.448,1.629,-0.043,0.115,0.093,2914.25,365.375,6195,3613.75,9808.75,0.749,0.223,0.028,0.473,0.276,4.137,2.204,0.43,0.297,0.533,7.061,3.983,22.45,9825.358,6746.607,3078.751,1,7.674,18,28,6,22,0.13,0,3805,0,16.678,18.646,19.312,19.968,20.314,20.772,21.17,21.704,22.512,23.985,18.436,1.515,-0.07,0.125,0.082
PL0171,SS,500,38,59.1,708,4555,9760,0.467,0.533,0.095,0.888,90.27,87.57,0.112,94.02,17.38,17.886,14.577,17.557,18.692,19.806,20.47,21.072,22.721,24,25.753,27.628,5.893,-0.366,0.187,0.365,0.675,17.38,2.379,-0.05,0.112,0.137,918.75,446.25,8338.75,4050.25,12389,0.9,0.067,0.032,0.606,0.294,4.372,2.248,0.364,0.245,0.514,5.764,8.559,25.187,9139.71,6557.611,2582.099,2,11.217,17.5,29.5,2.5,27,0.088,57.9,2316,40,15.94,18.873,19.882,20.983,21.52,22.196,22.863,23.736,24.825,26.368,18.533,2.337,-0.086,0.128,0.126
PL0172,LPN,775,13,10.84,54,3536,5738,0.616,0.384,0.478,0.371,41.4,30.109,0.629,55.56,4.74,5.138,3.04,4.46,4.978,5.678,6.068,6.491,7.626,8.506,9.744,11.237,3.028,0.657,-0.321,0.603,0.486,4.74,1.114,0.155,0.058,0.235,1092.875,1873.5,758.625,1300.5,2059.125,0.41,0.217,0.373,0.151,0.259,2.282,1.266,0.27,0.059,0.555,0.758,0.456,6.246,1198.546,427.41,771.137,1,4.663,4,13,2.5,10.5,0.088,1.776,643,362,3.104,4.661,5.233,6.029,6.392,6.899,7.343,8.007,8.812,10.081,4.952,1.182,0.139,0.046,0.239
PL0173,SS,400,39,48.71,506,4567,9788,0.467,0.533,0.136,0.849,94.59,76.422,0.151,98.09,16.99,17.261,15.127,17.224,17.964,18.766,19.2,19.661,20.741,21.533,22.708,24.514,4.073,-0.507,0.188,0.297,0.748,16.99,1.709,-0.085,0.123,0.101,2590.25,198.25,6231.25,3240.25,9471.5,0.772,0.211,0.016,0.508,0.264,4.884,2.751,0.432,0.239,0.563,4.436,6.965,21.131,9234.257,5719.276,3514.981,1,7.879,18,26.5,4,22.5,0.127,0,3164,0,16.203,18.26,18.941,19.702,20.072,20.455,20.866,21.377,22.04,23.074,17.904,1.637,-0.126,0.133,0.091
PL0174,SS,1250,18,31.02,219,9681,20489,0.472,0.528,0.14,0.828,90.99,75.537,0.172,97.16,8.96,9.413,6.957,8.947,9.672,10.512,10.943,11.48,12.765,13.808,15.604,17.181,3.986,0.055,-0.368,0.479,0.574,8.96,1.64,0.009,0.107,0.183,382.5,315,4114,3388,7502,0.915,0.047,0.038,0.502,0.413,3.685,1.684,0.252,0.129,0.457,3.107,4.344,12.11,4947.485,2547.855,2399.631,1,7.737,9.5,19,2.5,16.5,0.119,13.403,3277,244.5,8.102,9.957,10.62,11.371,11.796,12.238,12.862,13.503,14.492,15.937,9.911,1.56,-0.009,0.118,0.157
PL0175,SS,2575,14,43.13,334,5007,8912,0.562,0.438,0.082,0.901,97.62,80.461,0.099,98.44,9.35,9.525,8.355,9.496,9.937,10.356,10.574,10.808,11.435,11.98,12.973,14.643,2.219,-0.747,1.247,0.351,0.721,9.35,0.995,-0.105,0.16,0.106,146.625,77.625,4349.875,2302.875,6652.75,0.968,0.021,0.011,0.633,0.335,2.523,1.255,0.367,0.257,0.497,2.481,3.912,12.941,5274.998,3786.986,1488.012,1,4.676,10,16.5,2.5,14,0.211,81.667,2572.5,31.5,9.019,10.064,10.4,10.77,10.965,11.183,11.434,11.809,12.258,13.123,9.89,0.898,-0.114,0.177,0.091
PL0176,SS,1225,18,34.17,300,3825,7699,0.497,0.503,0.16,0.814,83.24,79.659,0.186,83.16,10.727,11.01,9.35,10.95,11.53,12.14,12.474,12.827,13.64,14.312,15.434,17.083,3.124,-0.634,0.521,0.359,0.695,10.727,1.376,-0.108,0.145,0.128,1090,599.5,4200,2310,6510,0.794,0.133,0.073,0.512,0.282,3.361,1.792,0.349,0.192,0.533,4.83,3.808,16.61,5041.241,3318.353,1722.888,1,6.138,12,19,2.5,16.5,0.16,58.846,1530,26,10.376,11.889,12.414,12.924,13.171,13.455,13.783,14.217,14.829,15.727,11.566,1.285,-0.147,0.162,0.111
PL0178,SS/CP,325,28,16.11,154,1830,3101,0.59,0.41,0.394,0.532,53.83,52.4,0.468,56.6,13.963,14.936,10.819,14.441,15.739,17.196,17.807,18.474,20.347,21.837,24.76,26.862,6.988,-0.326,-0.429,0.462,0.564,13.963,3,-0.08,0.108,0.215,4698.75,3132.5,3236.25,2157.5,5393.75,0.408,0.355,0.237,0.245,0.163,4.888,3.155,0.384,0.065,0.646,0.942,1.344,17.399,3242.385,1906.294,1336.091,4,12.849,14.5,28.5,2.5,26,0.065,6.279,191.5,30.5,11.927,15.106,16.767,17.769,18.263,18.996,19.78,20.719,22.158,25.154,14.733,2.911,-0.101,0.131,0.198
PL0179,SS,1375,19,41.65,344,3498,7583,0.461,0.539,0.116,0.862,96.77,77.209,0.138,99.09,10.61,11.014,8.9,10.868,11.537,12.295,12.698,13.109,14.173,14.969,16.505,18.395,3.798,-0.476,0.117,0.409,0.643,10.61,1.653,-0.089,0.136,0.156,210,136.5,5080,3302,8382,0.96,0.024,0.016,0.582,0.378,3.595,1.836,0.334,0.181,0.511,3.582,5.317,15.785,6062.477,3764.874,2297.603,1,7.363,11.5,20,2.5,17.5,0.128,17.353,885,51,9.977,11.783,12.511,13.209,13.564,13.924,14.307,14.821,15.48,17.099,11.547,1.56,-0.116,0.149,0.135
PL0180,SS/JL,1450,17,33.88,227,2979,6005,0.496,0.504,0.013,0.979,100,95.737,0.021,98.09,7.82,8.213,6.018,8.022,8.723,9.328,9.726,10.163,10.948,11.628,12.743,14.301,3.708,-0.184,-0.754,0.439,0.614,7.82,1.435,-0.051,0.069,0.184,175,137.5,3528,2772,6300,0.953,0.026,0.021,0.534,0.419,2.155,1.021,0.231,0.135,0.474,1.861,4.385,11.85,4333.472,3283.637,1049.835,1,6.96,9,16,2.5,13.5,0.126,8.553,504.6,59,7.213,8.987,9.645,10.312,10.593,10.848,11.121,11.56,12.017,13.199,8.681,1.388,-0.122,0.095,0.16
PL0181,SS,1425,20,47.13,378,7186,15085,0.476,0.524,0.078,0.877,93.28,82.681,0.123,94.44,9.473,9.788,7.716,9.491,10.156,10.883,11.301,11.711,12.756,13.512,14.624,16.328,3.585,-0.075,-0.451,0.419,0.648,9.473,1.405,-0.01,0.091,0.148,463.5,283.25,4297.5,2626.25,6923.75,0.902,0.06,0.037,0.56,0.342,3.412,1.603,0.303,0.195,0.47,1.727,3.581,14.234,5132.42,3026.528,2105.892,1,7.053,10,18,2.5,15.5,0.139,56.818,2812.5,49.5,8.695,10.333,10.949,11.62,11.986,12.352,12.825,13.313,13.942,15.075,10.26,1.337,-0.039,0.102,0.13
PL0182,LPS,1025,22,40.24,235,5383,10711,0.503,0.497,0.197,0.738,88.39,58.99,0.262,95.14,7.636,8.245,5.157,7.471,8.364,9.475,9.932,10.517,11.823,12.992,14.856,16.742,4.775,0.249,-0.668,0.554,0.514,7.636,1.781,0.051,0.064,0.233,381.5,436,3321.5,3796,7117.5,0.897,0.048,0.055,0.419,0.478,3.796,1.706,0.197,0.091,0.449,1.011,3.042,11.149,4177.838,2034.276,2143.562,1,8.93,8,18.5,2.5,16,0.078,3.375,436,129.167,5.79,8.095,9.124,10.078,10.595,11.035,11.708,12.368,13.579,15.317,8.202,1.819,0.027,0.065,0.222
PL0183,SS,1225,23,49.88,411,3367,6591,0.511,0.489,0.069,0.922,99.73,84.367,0.078,97.92,11.659,12.075,9.563,12.003,12.812,13.611,14.025,14.476,15.489,16.252,17.445,19.466,4.462,-0.447,-0.201,0.383,0.668,11.659,1.777,-0.09,0.098,0.152,293.25,153,5790.25,3021,8811.25,0.951,0.032,0.017,0.625,0.326,2.892,1.534,0.388,0.267,0.53,2.177,4.289,12.65,6449.411,4811.376,1638.035,1,8.335,13,21,2.5,18.5,0.116,30.761,546,17.75,10.435,12.891,13.684,14.395,14.726,15.132,15.531,15.997,16.732,17.787,12.461,1.693,-0.11,0.091,0.136
PL0184,SS,1800,14,31.42,209,3348,7270,0.461,0.539,0.174,0.802,98.95,64.1,0.198,96.88,8.249,8.479,7.103,8.431,8.859,9.38,9.615,9.917,10.571,11.143,12.168,13.379,2.512,-0.524,0.278,0.37,0.678,8.249,1.094,-0.092,0.137,0.133,478.125,255,3489.375,1861,5350.375,0.88,0.079,0.042,0.574,0.306,3.345,1.802,0.315,0.087,0.539,1.75,4.373,11.055,4326.004,2159.814,2166.19,1,5.17,9,15,2.5,12.5,0.185,25.923,561.667,21.667,8.109,9.192,9.58,9.962,10.154,10.41,10.643,11.009,11.535,12.348,9.061,0.909,-0.089,0.154,0.1
PL0185,LPS,1650,20,54.7,291,5297,10682,0.496,0.504,0.186,0.77,94.7,59.591,0.23,100,8.385,8.781,6.661,8.527,9.219,9.956,10.309,10.75,11.698,12.375,13.536,15.845,3.648,-0.276,-0.397,0.462,0.619,8.385,1.482,-0.058,0.102,0.177,216,162,4016,3012,7028,0.949,0.029,0.022,0.542,0.407,4.04,1.913,0.236,0.075,0.473,3.871,2.079,12.518,4808.587,2310.955,2497.632,1,7.08,9,17.5,2.5,15,0.123,8.248,3456,419,7.364,9.254,9.971,10.646,10.988,11.263,11.698,12.14,12.727,13.752,9.05,1.422,-0.08,0.098,0.157
