Plot_ID,Species,Stems / ha,Mean DBH,BA / ha,Vol / ha,N_Pulses,N_Returns,First_Return,Multi_Return,LPI,CDensity,FCI,LCI,GapFrac,VCC,hMean,qhMean,h25,h50,h60,h70,h75,h80,h90,h95,h99,hmax,IQR,Skew,Kurtosis,VDR,CanopyRR,L_mean,L_scale,L_skewness,L_kurtosis,L_variation,Closed_Vol,Open_Vol,Oligophotic_Vol,Euphotic_Vol,cvm_filled_vol,cvm_filled_prop,Closed_Prop,Open_Prop,Oligophotic_Prop,Euphotic_Prop,p_mean,p_scale,p_skewness,p_kurtosis,p_variation,chm_rumple,chm_ruggedness,chm_roughness,chm_vf,chm_vl,chm_vd,wv_peaks,wv_auc,wv_mid,wv_min,wv_max,wv_width,wv_prominence,wv_midmin,wv_midmax,wv_minmax,h25f,h50f,h60f,h70f,h75f,h80f,h85f,h90f,h95f,h99f,L_mean_f,L_scale_f,L_skewness_f,L_kurtosis_f,L_variation_f
PL0130,LPS,1375,18,34.35,187,4123,8365,0.493,0.507,0.2,0.711,83.46,59.17,0.289,91.67,7.708,8.156,5.844,7.994,8.739,9.462,9.761,10.136,10.944,11.576,12.819,14.74,3.917,-0.283,-0.709,0.458,0.601,7.708,1.521,-0.075,0.07,0.197,585,429,3382.5,2480.5,5863,0.853,0.085,0.062,0.492,0.361,3.402,1.723,0.275,0.098,0.507,3.254,2.69,12.092,3992.667,2108.529,1884.138,1,7.109,9.5,16.5,2.5,14,0.109,4.721,2474,524,6.7,8.946,9.565,10.093,10.332,10.625,10.952,11.381,12.061,13.097,8.416,1.475,-0.14,0.1,0.175
PL0131,SS,1800,20,53.55,369,2149,3937,0.546,0.454,0.09,0.907,94.18,86.521,0.093,93.3,10.702,10.962,9.15,10.843,11.49,12.131,12.443,12.757,13.679,14.302,15.379,16.629,3.293,-0.397,-0.001,0.348,0.696,10.702,1.339,-0.069,0.112,0.125,1204.75,488.75,4096.875,2156.25,6253.125,0.787,0.152,0.062,0.516,0.271,2.454,1.412,0.433,0.292,0.575,4.815,4.224,14.745,4906.604,3955.881,950.724,1,6.376,12,18.5,2.5,16,0.156,120,1680,14,9.905,11.537,12.111,12.662,12.927,13.31,13.694,14.042,14.685,15.567,11.377,1.224,-0.056,0.098,0.108
PL0133,SS,725,10,6.22,24,3784,5192,0.729,0.271,0.399,0.26,30.05,15.199,0.74,45.83,3.21,3.345,2.427,3.001,3.342,3.611,3.779,4.011,4.623,5.017,5.773,6.744,1.352,0.843,0.1,0.555,0.556,3.21,0.523,0.196,0.067,0.163,534.375,1246.875,259.125,604.625,863.75,0.327,0.202,0.471,0.098,0.229,1.017,0.525,0.213,0.045,0.516,1.232,1.913,6.744,790.789,455.714,335.075,1,2.747,4,8.5,2.5,6,0.094,1.423,640.5,450,2.422,3.012,3.372,3.671,3.838,4.06,4.344,4.681,5.059,5.793,3.228,0.536,0.195,0.057,0.166
PL0135,BI/SS,650,20,32,232,4986,8717,0.572,0.428,0.216,0.739,76.17,70.866,0.261,83.15,9.469,9.929,7.458,9.339,10.243,11.139,11.596,12.047,13.501,14.523,16.103,18.065,4.138,0.044,-0.401,0.483,0.588,9.469,1.699,0.013,0.103,0.179,1066.5,888.75,3694.5,3078.75,6773.25,0.776,0.122,0.102,0.423,0.353,3.043,1.684,0.313,0.105,0.553,1.99,3.684,11.187,4226.32,2602.291,1624.03,1,7.991,9.5,20,2.5,17.5,0.118,17.852,2410,135,8.15,10.055,10.899,11.681,12.114,12.621,13.261,14.023,15.05,16.238,10.165,1.608,0.02,0.104,0.158
PL0137,LPN/SS,950,15,19.13,107,3848,7006,0.549,0.451,0.213,0.657,69.33,61.368,0.343,80.72,6.205,6.782,3.882,5.897,6.735,7.703,8.22,8.764,10.105,11.044,12.747,15.386,4.338,0.454,-0.6,0.617,0.487,6.205,1.558,0.105,0.048,0.251,936.375,1362,1973.125,2870,4843.125,0.678,0.131,0.191,0.276,0.402,2.517,1.151,0.178,0.086,0.457,3.862,1.883,11.83,2493.523,1409.508,1084.015,1,7.476,4,17,2.5,14.5,0.062,1.912,447.5,234,4.097,6.215,7.151,8.206,8.727,9.36,9.966,10.673,11.474,13.361,6.544,1.643,0.093,0.039,0.251
PL0140,SS/LPN,1700,17,46.28,352,3191,6640,0.481,0.519,0.089,0.898,97.96,82.343,0.102,99.43,9.242,9.617,7.451,9.44,10.122,10.828,11.182,11.596,12.561,13.352,14.42,17.28,3.731,-0.261,-0.427,0.454,0.641,9.242,1.513,-0.058,0.097,0.164,294.75,472.625,4466.25,2977.5,7443.75,0.907,0.036,0.058,0.544,0.363,2.931,1.417,0.291,0.179,0.484,3.773,1.959,13.354,5243.502,3703.825,1539.677,1,7.059,10.5,19,2.5,16.5,0.135,20.901,2529,121,8.605,10.36,10.945,11.603,11.93,12.297,12.69,13.218,13.843,14.8,10.129,1.398,-0.085,0.114,0.138
PL0141,SS/LPN,1325,18,38.45,283,3245,6263,0.518,0.482,0.134,0.838,87.49,79.755,0.162,89.04,8.349,8.798,6.412,8.496,9.294,10.069,10.468,10.834,11.829,12.625,14.026,16.233,4.056,-0.168,-0.587,0.477,0.595,8.349,1.583,-0.045,0.083,0.19,678,550.875,3554,2887.625,6441.625,0.839,0.088,0.072,0.463,0.376,2.73,1.353,0.258,0.131,0.496,2.301,1.316,12.801,4251.826,2945.732,1306.094,2,7.706,10,18,2.5,15.5,0.111,7.063,506.75,71.75,7.493,9.589,10.243,10.836,11.143,11.499,11.884,12.359,13.102,14.427,9.238,1.492,-0.093,0.108,0.162
PL0142,SS/LPS,1200,28,72.44,619,3635,7484,0.486,0.514,0.173,0.807,93.54,68.641,0.193,98.37,15.232,15.818,12.877,15.554,16.573,17.616,18.231,18.921,20.362,21.406,23.159,25.229,5.354,-0.668,0.625,0.383,0.658,15.232,2.359,-0.103,0.146,0.155,798.25,412,7401.25,3820,11221.25,0.902,0.064,0.033,0.595,0.307,5.631,3.182,0.353,0.109,0.565,6.134,3.864,24.072,8095.429,4693.936,3401.493,2,9.885,16.5,27,6,21,0.095,17.558,913,52,13.835,16.456,17.455,18.564,19.155,19.629,20.274,21.039,22.179,23.494,16.13,2.279,-0.11,0.145,0.141
PL0143,SS,1550,25,78.09,763,2500,5249,0.476,0.524,0.018,0.974,99.64,95.271,0.026,99.09,16.686,16.836,15.325,16.86,17.431,17.944,18.247,18.536,19.371,19.959,21.031,23.042,2.922,-0.81,2.399,0.268,0.793,16.686,1.233,-0.09,0.138,0.074,578.375,107.25,7897.25,2802.25,10699.5,0.94,0.051,0.009,0.694,0.246,2.507,1.258,0.358,0.294,0.502,6.42,4.679,21.33,9065.27,7770.691,1294.578,1,5.762,17.5,25,2.5,22.5,0.173,532,2660,5,16.632,17.797,18.254,18.645,18.895,19.244,19.524,19.887,20.397,21.331,17.678,1.016,-0.084,0.147,0.057
PL0144,SS,800,25,41.83,399,3408,8205,0.415,0.585,0.097,0.888,98.44,82.03,0.112,99.62,13.191,14.025,9.861,13.797,14.93,16.193,16.777,17.474,19.087,20.152,22.282,24.965,6.916,-0.313,-0.631,0.447,0.592,13.191,2.715,-0.08,0.078,0.206,350,225,7056,4536,11592,0.953,0.029,0.018,0.58,0.373,4.404,2.191,0.326,0.207,0.498,5.262,2.399,18.835,7440.918,4902.302,2538.615,2,11.747,15.5,26.5,2.5,24,0.077,10.655,927,87,11.149,14.927,16.189,17.389,17.913,18.483,19.181,19.86,20.939,23.044,14.326,2.666,-0.11,0.091,0.186
