,Plot_ID,Species,Stems / ha,Mean DBH,BA / ha,Vol / ha,Skew,CanopyRR,Oligophotic_Prop,Euphotic_Prop,p_mean,p_kurtosis,p_variation,chm_rumple,chm_ruggedness,chm_vf,chm_vl,wv_midmin
111,PL0122,CP,1075,23,46.14,474,-0.836,0.692,0.633,0.281,5.83,0.033,0.548,4.141,6.596,7096.638,3556.132,19.193
112,PL0123,SS,2550,11,28.14,153,0.299,0.578,0.371,0.556,1.801,0.108,0.4,1.036,2.678,2569.104,1743.009,2.655
113,PL0124,SS,2825,13,42.14,259,-0.183,0.644,0.536,0.439,2.072,0.17,0.463,3.149,2.326,3764.747,2728.025,12.033
114,PL0125,MP,400,37,41.63,210,-0.53,0.706,0.471,0.209,4.929,0.025,0.634,4.252,2.203,5709.507,2790.786,146.556
115,PL0126,SS,1875,11,19.15,92,0.666,0.528,0.331,0.497,1.699,0.104,0.426,1.666,0.731,2034.127,1158.838,1.903
116,PL0128,SS,1575,18,43.34,322,-0.58,0.674,0.568,0.301,1.997,0.123,0.484,3.72,2.803,4560.195,3893.755,23.744
117,PL0129,LPN,2025,9,15.11,80,0.488,0.53,0.302,0.431,3.115,0.035,0.429,1.748,3.025,2013.908,556.255,2.162
118,PL0130,LPS,1375,18,34.35,187,-0.283,0.601,0.492,0.361,3.402,0.098,0.507,3.254,2.69,3992.667,2108.529,4.721
119,PL0131,SS,1800,20,53.55,369,-0.397,0.696,0.516,0.271,2.454,0.292,0.575,4.815,4.224,4906.604,3955.881,120.0
120,PL0133,SS,725,10,6.22,24,0.843,0.556,0.098,0.229,1.017,0.045,0.516,1.232,1.913,790.789,455.714,1.423
121,PL0135,BI/SS,650,20,32.0,232,0.044,0.588,0.423,0.353,3.043,0.105,0.553,1.99,3.684,4226.32,2602.291,17.852
122,PL0137,LPN/SS,950,15,19.13,107,0.454,0.487,0.276,0.402,2.517,0.086,0.457,3.862,1.883,2493.523,1409.508,1.912
123,PL0140,SS/LPN,1700,17,46.28,352,-0.261,0.641,0.544,0.363,2.931,0.179,0.484,3.773,1.959,5243.502,3703.825,20.901
124,PL0141,SS/LPN,1325,18,38.45,283,-0.168,0.595,0.463,0.376,2.73,0.131,0.496,2.301,1.316,4251.826,2945.732,7.063
125,PL0142,SS/LPS,1200,28,72.44,619,-0.668,0.658,0.595,0.307,5.631,0.109,0.565,6.134,3.864,8095.429,4693.936,17.558
126,PL0143,SS,1550,25,78.09,763,-0.81,0.793,0.694,0.246,2.507,0.294,0.502,6.42,4.679,9065.27,7770.691,532.0
127,PL0144,SS,800,25,41.83,399,-0.313,0.592,0.58,0.373,4.404,0.207,0.498,5.262,2.399,7440.918,4902.302,10.655
128,PL0145,SS,1150,10,10.11,46,1.295,0.451,0.161,0.452,1.823,0.102,0.462,1.431,1.884,1536.722,712.61,1.538
