Scientific name,Common name,Occurrence status,Year,Latitude (WGS84),Longitude (WGS84),Coordinate uncertainty (m),Recorder,Individual count,Institution code
Chrysolina cerealis,Rainbow Leaf Beetle,present,2016,53.08142,-4.07885,1,Tony Hunter,3,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1992,53.06999,-4.0537,1000,Alan Buse,2,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1990,53.08743,-4.08439,1000,Unknown,1,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1990,53.08743,-4.08439,1000,Unknown,1,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1960,53.07897,-4.05412,1000,P.W. Price,1,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1989,53.08743,-4.08439,1000,Peter Hope Jones,3,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1997,53.08166,-4.08038,100,Gareth Higgins,1,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1856,53.06999,-4.0537,1000,James Foxcroft,,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1831,53.06999,-4.0537,1000,Unknown,,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,,53.07512,-4.01662,10000,W.W. Fowler,,Cumbria Biodiversity Data Centre
Chrysolina cerealis,Rainbow Leaf Beetle,present,1926,53.06999,-4.0537,1000,Unknown,,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1968,53.07512,-4.01662,10000,Rawdon Goodier,,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1829,53.06999,-4.0537,1000,Unknown,1,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1906,53.06999,-4.0537,1000,Unknown,1,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1997,53.07512,-4.01662,10000,Caroline Wilson,,Cofnod
Chrysolina cerealis,Rainbow Leaf Beetle,present,2018,53.07512,-4.01662,10000,Dutton,,Cofnod
Chrysolina cerealis,Rainbow Leaf Beetle,present,1979,53.06999,-4.0537,1000,John Parry,,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1886,53.06999,-4.0537,1000,John Ellis,2,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1966,53.06999,-4.0537,1000,E. Ansorge,,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1867,53.06999,-4.0537,1000,J.A. Brewer,,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,,53.07409,-4.07628,2000,,,NBGRC
Chrysolina cerealis,Rainbow Leaf Beetle,present,,53.07512,-4.01662,10000,E.C. Bedwell,,Cumbria Biodiversity Data Centre
Chrysolina cerealis,Rainbow Leaf Beetle,present,1990,53.07617,-4.08609,100,Unknown,2,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1885,53.06999,-4.0537,1000,R. Wilding,2,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1901,53.07512,-4.01662,10000,Unknown,12,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1968,53.06999,-4.0537,1000,G.A. Mitchell,,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1990,53.08743,-4.08439,1000,Unknown,1,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1980,53.10515,-4.02176,100,Philip King,2,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1906,53.06999,-4.0537,1000,Unknown,2,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1969,53.06999,-4.0537,1000,Unknown,3,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1955,53.07512,-4.01662,10000,Unknown,4,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1961,53.06999,-4.0537,1000,A.M. Massee,1,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1990,53.07845,-4.08396,1000,Unknown,2,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1995,53.07973,-4.08775,100,Mike Howe,7,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1951,53.06999,-4.0537,1000,A.M. Massee,1,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1906,53.06999,-4.0537,1000,E.C. Bedwell;J. Kidson-Taylor,,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1995,53.08338,-4.08494,100,Adrian Fowles,8,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1906,53.07512,-4.01662,10000,J.K. Taylor,,Cumbria Biodiversity Data Centre
Chrysolina cerealis,Rainbow Leaf Beetle,present,1943,53.07512,-4.01662,10000,Unknown,1,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1963,53.06947,-4.08353,1000,A.M. Massee;A.E. Gardner,,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1943,53.07512,-4.01662,10000,Unknown,5,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1980,53.08012,-4.06538,100,Philip King,1,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1967,53.06999,-4.0537,1000,Unknown,5,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,2016,53.08866,-4.08102,1,Tony Hunter,1,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1998,53.08743,-4.08439,1000,Russell Gomm,1,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1995,53.08338,-4.08494,100,Adrian Fowles,2,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1885,53.06999,-4.0537,1000,Unknown,2,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1907,53.06999,-4.0537,1000,John Read Tomlin,1,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1943,53.07512,-4.01662,10000,Unknown,1,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1990,53.07845,-4.08396,1000,Unknown,1,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1989,53.07973,-4.08775,100,Liz Howe;Mike Howe,1,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,2015,53.08142,-4.07885,1,Tony Hunter,2,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,2011,53.0689,-4.07208,10,Alastair Hotchkiss,1,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,2015,53.08082,-4.0813,1,Tony Hunter,1,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1910,53.06999,-4.0537,1000,Unknown,4,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1905,53.06999,-4.0537,1000,J. Kidson-Taylor,,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1980,53.08158,-4.08486,100,Philip King,1,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1980,53.08158,-4.08486,100,Philip King,1,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1901,53.07512,-4.01662,10000,Unknown,4,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1990,53.08743,-4.08439,1000,Unknown,1,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1990,53.07617,-4.08609,100,Unknown,1,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1990,53.07617,-4.08609,100,Unknown,1,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,2015,53.08036,-4.08001,1,Tony Hunter,1,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1992,53.06999,-4.0537,1000,Alan Buse,1,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1989,53.08743,-4.08439,1000,Unknown,1,NRW
